word	POS	signal	biasType	biasValue	derogatory	colloquial	forms
афазик	N	false			false	false	false	0.0	0.75	афазик
разпалващ	A	false			false	false	false	0.75	0.25	разпалва|разпалвани|разпалващ|разпалвалата|разпалвали|разпалвайте|разпалваната|разпалвана|разпалваните|разпалващо|разпалвала|разпалват|разпалващи|разпалвайки|разпалваш|разпалвах|разпалващите|разпалваха|разпалващия|разпалвай|разпалваща|разпалвалите|разпалваното|разпалвалия|разпалвания|разпалващото|разпалваме|разпалвалото|разпалвате|разпалваният|разпалващият|разпалвахме|разпалвал|разпалвам|разпалваше|разпалван|разпалвалият|разпалвало|разпалвахте|разпалващата|разпалвано
недекориран	A	false			false	false	false	0.25	0.625	недекориран
жълтеникав	A	false	appearance	negative	false	false	false	0.0	0.0	жълтеникавото|жълтеникава|жълтеникавия|жълтеникавата|жълтеникавият|жълтеникавите|жълтеникав|жълтеникави|жълтеникаво
синус	N	false			false	false	false	0.0	0.625	синусът|синуса|синусите|синус|синуси
панкреатит	N	true	disability		false	false	false	0.0	0.75	панкреатит
възпламенимост	N	false			false	false	false	0.625	0.125	възпламенимостта|възпламенимост
доверчив	A	false			false	false	false	0.625	0.125	доверчив|доверчивото|доверчиви|доверчивият|доверчивите|доверчивата|доверчивия|доверчиво|доверчива
надменен	A	false		negative	true	false	false	0.0	0.625	надменна|надменния|надменният|надменните|надменно|надменното|надменната|надменни|надменен
немит	A	false			false	false	false	0.0	0.75	немито|немита|немития|немитото|немитият|немитите|немитата|немити|немит
простак	N	false		negative	true	true	false	0.0	0.0	простака|простаците|простакът|простак|простаци
нервна прострация	N	true	disability		false	false	false	0.0	0.75	нервна прострация
шефка	N	true	gender	neutral	false	false	false	0.0	0.0	шефките|шефката|шефка|шефки
уязвимост	N	false			false	false	false	0.0	0.875	уязвимост|уязвимостта
булка	N	true	gender	neutral	false	false	false	0.0	0.0	булката|булките|булки|булка
поликистозна болест на бъбреците	N	true	disability		false	false	false	0.0	0.625	поликистозна болест на бъбреците
малък гърч	N	false			false	false	false	0.0	0.625	малък гърч
отбрана	N	false			false	false	false	0.0	0.625	отбрана|отбраната|отбрани|отбраните
високопоставен	A	false			false	false	false	0.625	0.0	високопоставеното|високопоставен|високопоставеният|високопоставените|високопоставената|високопоставения|високопоставени|високопоставено|високопоставена
недървесен	A	false			false	false	false	0.0	0.625	недървесен
Откровение	N	false			false	false	false	0.625	0.0	
засрамен	A	false			false	false	false	0.0	0.75	засрамиш|засрамило|засрамело|засрамят|засрамих|засрамехме|засрамили|засрамената|засрамено|засрамените|засрамеше|засрамилото|засрамехте|засрамена|засрамил|засрамела|засрамя|засрамени|засрамилите|засрамели|засрамим|засрамила|засрамихме|засрамех|засрамилата|засрамиха|засрамеха|засраменият|засрами|засрамения|засрамихте|засрамите|засрамете|засрамилия|засрамен|засрамилият|засраменото|засрамел
нечовешки	A	false			false	false	false	0.0	0.625	нечовешко|нечовешката|нечовешка|нечовешкото|нечовешкия|нечовешкият|нечовешките|нечовешки
арапин	N	false	race_ethnicity	negative	true	true	false	0.0	0.0	арапин|арапинът|арапи|арапина|арапите
момиче	N	true	gender	neutral	false	false	false	0.0	0.0	момиче|момичета|момичетата|момичето
безполов	A	false			false	false	false	0.0	0.625	безполова|безполово|безполовата|безполов|безполови|безполовият|безполовите|безполовия|безполовото
тетаничен	A	false			false	false	false	0.0	0.75	тетаничен
травмиращ	A	false			false	false	false	0.0	0.75	травмиран|травмирам|травмирахме|травмираният|травмиралият|травмират|травмирах|травмираше|травмирате|травмиращ|травмираш|травмира|травмираното|травмиращият|травмиращо|травмирала|травмиралото|травмирани|травмирали|травмирал|травмирало|травмирахте|травмирано|травмираща|травмиращото|травмираните|травмираха|травмиралите|травмиращия|травмиращи|травмирай|травмирайки|травмирана|травмиращите|травмираната|травмираме|травмиралия|травмиралата|травмирания|травмирайте|травмиращата
куца	A	true	disability	negative	false	false	false	0.0	0.0	куцият|куците|куцото|куци|куцата|куция|куц|куцо|куца
разтежение	N	false			false	false	false	0.0	0.625	разтежението|разтежение|разтеженията|разтежения
болнав	A	true	disability	negative	false	false	false	0.0	0.0	болнав|болнаво|болнавия|болнава|болнавият|болнавите|болнавото|болнавата|болнави
добродетелен	A	false		positive	true	false	false	0.875	0.0	добродетелното|добродетелния|добродетелни|добродетелен|добродетелна|добродетелната|добродетелно|добродетелният|добродетелните
некомфортен	A	false			false	false	false	0.0	0.625	некомфортен|некомфортни|некомфортната|некомфортно|некомфортният|некомфортните|некомфортния|некомфортна|некомфортното
могъщ	A	false		positive	false	false	false	0.0	0.0	могъщия|могъща|могъщата|могъщо|могъщ|могъщото|могъщият|могъщите|могъщи
алголагния	N	false			false	false	false	0.0	0.625	алголагния
кучка	N	false	gender	negative	true	true	false	0.0	0.0	кучката|кучки|кучка|кучките
негативен стимул	N	false			false	false	false	0.0	0.625	негативен стимул
сополив	A	false			false	false	false	0.0	0.875	сополивият|сополива|сополивите|сополиво|сополивото|сополивия|сополивата|сополиви|сополив
скромност	N	false			false	false	false	0.0	0.625	скромност|скромността
неизравнен	A	false			false	false	false	0.0	0.625	неизравнен
разсърдя	V	false			false	false	false	0.0	0.625	разсърдели|разсърденият|разсърдени|разсърдил|разсърдилите|разсърдила|разсърдела|разсърдена|разсърдим|разсърдиш|разсърдеше|разсърденото|разсърдят|разсърдих|разсърдехме|разсърдило|разсърдело|разсърдилото|разсърдено|разсърди|разсърдехте|разсърдили|разсърдените|разсърдя|разсърдилият|разсърдилия|разсърден|разсърдите|разсърдете|разсърдената|разсърдел|разсърдихме|разсърдех|разсърдилата|разсърдиха|разсърдеха|разсърдения|разсърдихте
айляк	A	false			false	false	true	0.0	0.625	айляк
безлесен	A	false			false	false	false	0.0	0.625	безлесния|безлесен|безлесни|безлесната|безлесното|безлесно|безлесният|безлесна|безлесните
примитивен	A	false		negative	true	false	false	0.0	0.0	примитивни|примитивния|примитивната|примитивен|примитивна|примитивният|примитивните|примитивното|примитивно
съвсем	Adv	false			false	false	false	0.75	0.0	съвсем
измамник	N	false		negative	true	false	false	0.0	0.625	измамника|измамниците|измамници|измамник|измамникът
неплодотворен	A	false			false	false	false	0.0	0.625	неплодотворният|неплодотворни|неплодотворните|неплодотворната|неплодотворно|неплодотворното|неплодотворна|неплодотворния|неплодотворен
избухливост	N	false			false	false	false	0.125	0.625	избухливост|избухливостта
фанатик	N	false	religion	negative	true	false	false	0.0	0.0	фанатици|фанатик|фанатикът|фанатиците|фанатика
опак	A	false			false	false	false	0.25	0.75	опак
неносим	A	false			false	false	false	0.125	0.625	неносим
враждуващ	A	false			false	false	false	0.0	0.75	враждуващия|враждувало|враждувалото|враждувам|враждувалия|враждувал|враждуваше|враждуващият|враждувате|враждувалият|враждуваме|враждуващата|враждувайте|враждувалата|враждува|враждувахме|враждуваща|враждувайки|враждувай|враждувахте|враждуваха|враждуващите|враждуват|враждуващи|враждуваш|враждуващо|враждувала|враждувалите|враждувах|враждуващ|враждуващото|враждували
Фьодор Достоевски	N	false			false	false	false	0.0	0.625	
бандит	N	false		negative	true	false	false	0.0	0.0	бандитите|бандити|бандита|бандитът|бандит
едем	N	false			false	false	false	0.0	0.625	едеми|едемът|едема|едемите|едем
нерезервиран	A	false			false	false	false	0.125	0.625	нерезервиран
недъгавост	N	false			false	false	false	0.0	0.75	недъгавост|недъгавостта
нелеплив	A	false			false	false	false	0.0	0.75	нелеплив
